k_index,k_fractional,energy_eV,spectral_weight_per_eV
0,-0.3750000000,-28.1290184312,2.7673863791e-04
0,-0.3750000000,-28.0990141449,2.7700276698e-04
0,-0.3750000000,-28.0690098586,2.6793451536e-04
0,-0.3750000000,-28.0390055722,2.5304983337e-04
0,-0.3750000000,-28.0090012859,2.3696561094e-04
0,-0.3750000000,-27.9789969996,2.2288879175e-04
0,-0.3750000000,-27.9489927132,2.1224871081e-04
0,-0.3750000000,-27.9189884269,2.0539223647e-04
0,-0.3750000000,-27.8889841406,2.0224673535e-04
0,-0.3750000000,-27.8589798543,2.0266435183e-04
0,-0.3750000000,-27.8289755679,2.0649454959e-04
0,-0.3750000000,-27.7989712816,2.1342729279e-04
0,-0.3750000000,-27.7689669953,2.2259624419e-04
0,-0.3750000000,-27.7389627090,2.3205241310e-04
0,-0.3750000000,-27.7089584226,2.3869839521e-04
0,-0.3750000000,-27.6789541363,2.3959344472e-04
0,-0.3750000000,-27.6489498500,2.3412418492e-04
0,-0.3750000000,-27.6189455637,2.2449684512e-04
0,-0.3750000000,-27.5889412773,2.1385251498e-04
0,-0.3750000000,-27.5589369910,2.0444076365e-04
0,-0.3750000000,-27.5289327047,1.9726214530e-04
0,-0.3750000000,-27.4989284183,1.9251757533e-04
0,-0.3750000000,-27.4689241320,1.9007374691e-04
0,-0.3750000000,-27.4389198457,1.8971950528e-04
0,-0.3750000000,-27.4089155594,1.9125318161e-04
0,-0.3750000000,-27.3789112730,1.9446522927e-04
0,-0.3750000000,-27.3489069867,1.9905714955e-04
0,-0.3750000000,-27.3189027004,2.0454784875e-04
0,-0.3750000000,-27.2888984141,2.1027605961e-04
0,-0.3750000000,-27.2588941277,2.1565078967e-04
0,-0.3750000000,-27.2288898414,2.2059723991e-04
0,-0.3750000000,-27.1988855551,2.2572202633e-04
0,-0.3750000000,-27.1688812688,2.3194900123e-04
0,-0.3750000000,-27.1388769824,2.4009463183e-04
0,-0.3750000000,-27.1088726961,2.5076720559e-04
0,-0.3750000000,-27.0788684098,2.6448514712e-04
0,-0.3750000000,-27.0488641234,2.8182319797e-04
0,-0.3750000000,-27.0188598371,3.0351950742e-04
0,-0.3750000000,-26.9888555508,3.3054272960e-04
0,-0.3750000000,-26.9588512645,3.6411338678e-04
