k_index,k1,k2,k3,k_distance_inv_ang,label,energy_eV,spectral_weight_per_eV
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-10.2702702703,8.0315983332e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-10.2102102102,8.2541574455e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-10.1501501502,8.4865730476e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-10.0900900901,8.7294812306e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-10.0300300300,8.9835758929e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-9.9699699700,9.2496159607e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-9.9099099099,9.5284338023e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-9.8498498498,9.8209450844e-03
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-9.7897897898,1.0128160385e-02
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-9.7297297297,1.0451198950e-02
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-9.6696696697,1.0791305100e-02
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-9.6096096096,1.1149867910e-02
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-9.5495495495,1.1528444993e-02
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-9.4894894895,1.1928791433e-02
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-9.4294294294,1.2352895263e-02
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-9.3693693694,1.2803021295e-02
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-9.3093093093,1.3281765719e-02
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-9.2492492492,1.3792124705e-02
0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,G,-9.1891891892,1.4337581345e-02
